normalize: naționalei	naționala
normalize: jucătoarei	jucătoare
normalize: jucătorului	jucător
normalize: sportivului	sportiv
normalize: fotbalistei	fotbalistă
normalize: rugbistului	rugbist
normalize: handbalistei	handbalistă
normalize: României	România
normalize: echipei	echipa
normalize: patinatoarei	patinatoare
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: copiii atenți	copii atenți
normalize: copiilor tineri	copii tineri
normalize: copilului monegasc	copil monegasc
normalize: tatălui sud-african	tatăl sud-african
normalize: taților sportivi	tați sportivi
normalize: mamei engleze	mamă engleze
normalize: mamelor engleze	mame engleze
normalize: jucătorilor	jucători
normalize: sportivilor	sportivi
normalize: fotbalistelor	fotbaliste
normalize: handbalistelor	handbaliste
normalize: rugbistelor	rugbiste
normalize: echipelor	echipe
normalize: patinatoarelor	patinatoare
normalize: naționalelor	naționale
normalize: Românilor	Români
normalize: fotbaliștilor	fotbaliști
normalize: fotbalistului	fotbalist
normalize: handbaliștilor	handbaliști
normalize: handbalistului	handbalist
normalize: spectatorilor	spectatori
normalize: spectatorului	spectator
normalize: oamenilor	oameni
normalize: omului	om
normalize: chriei	chirie
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: copiii atenți	copii atenți
normalize: copiilor tineri	copii tineri
normalize: copilului monegasc	copil monegasc
normalize: tatălui sud-african	tatăl sud-african
normalize: taților sportivi	tați sportivi
normalize: mamei engleze	mamă engleze
normalize: mamelor engleze	mame engleze
normalize: cetățeanului	cetățean
normalize: cetățenilor	cetățeni
normalize: drapelului	drapel
normalize: steagului	steag
normalize: fanionului	fanion
normalize: drapelelor	drapele
normalize: fanioanelor	fanioane
normalize: antrenorului	antrenor
normalize: antrenorilor	antrenori
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: copiii atenți	copii atenți
normalize: copiilor tineri	copii tineri
normalize: copilului monegasc	copil monegasc
normalize: tatălui sud-african	tatăl sud-african
normalize: taților sportivi	tați sportivi
normalize: mamei engleze	mamă engleze
normalize: mamelor engleze	mame engleze
normalize: echipei naționale	echipa națională
normalize: sportivilor români	sportivi români
normalize: fotbalistelor tinere	fotbaliste tinere
normalize: jucătorului străin	jucător străin
normalize: handbalistei experimentate	handbalistă experimentată
normalize: rugbistului francez	rugbist francez
normalize: echipelor locale	echipe locale
normalize: patinatoarei talentate	patinatoare talentată
normalize: jucătoarei maghiare	jucătoare maghiară
normalize: naționalei feminine	naționala feminină
normalize: Unirii	Unirea
normalize: SCM-ului	SCM
normalize: CSM-ului	CSM
normalize: Stelei	Steaua
normalize: Rapidului	Rapid
normalize: Dinamo-ului	Dinamo
normalize: CFR-ului	CFR
normalize: Universității	Universitatea
normalize: Sportului	Sportul
normalize: Progresului	Progresul
normalize: Timișoarei	Timișoara
normalize: Clujului	Cluj
normalize: Craiovei	Craiova
normalize: Bucureștiului	București
normalize: Sloboziei	Slobozia
normalize: Buzăului	Buzău
normalize: provinciei	provincie
normalize: județului	județ
normalize: ligilor	ligi
normalize: ligii	liga
normalize: Superligii	Superliga
normalize: Bistriței	Bistrița
normalize: Iașului	Iași
normalize: Aradului	Arad
normalize: Clinceniului	Clinceni
normalize: Metaloglobusului	Metaloglobus
normalize: Sibiului	Sibiu
normalize: federației	federație
normalize: comisiei	comisie
normalize: comisiilor	comisii
normalize: acadeaua	acadea
normalize: acadelei	acadea
normalize: andreaua	andrea
normalize: andrelei	andrea
normalize: maneaua	manea
normalize: manelei	manea
normalize: stelei	stea
normalize: Stelei București	Steaua București
normalize: Stelei Roșii	Steaua Roșie
normalize: Stelei Roșii Belgrad	Steaua Roșie Belgrad
normalize: copilului	copil
normalize: fratelui	frate
normalize: fraților	frați
normalize: tatălui	tată
normalize: taților	tați
normalize: bunicului	bunic
normalize: unchiului	unchi
normalize: nașului	naș
normalize: cetățeanului	cetățean
normalize: cetățenilor	cetățeni
normalize: fetei	fată
normalize: mamei	mamă
normalize: mamelor	mame
normalize: sorei	sora
normalize: sorei	sora
normalize: surorei	surora
normalize: nașei	nașa
normalize: fiii	fii
normalize: copiii	copii
normalize: fiilor	fii
normalize: copiilor	copii
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: bănățenei	bănățeană
normalize: bănățean	bănățean
normalize: bănățeană	bănățeană
normalize: craiovean	craiovean
normalize: craiovenei	craioveană
normalize: craioveană	craioveană
normalize: craiovenilor	craioveni
normalize: prahovencei	prahoveană
normalize: prahoveancă	prahoveană
normalize: prahovean	prahovean
normalize: bucureștean	bucureștean
normalize: bucureșteană	bucureșteană
normalize: bucureșteancă	bucureșteană
normalize: bucureștenei	bucureșteană
normalize: bucureștencei	bucureșteană
normalize: bucureștencelor	bucureștene
normalize: bucureșteanului	bucureștean
normalize: bucureștenilor	bucureșteni
normalize: prahovencelor	prahovene
normalize: bănățeancă	bănățeană
normalize: bănățence	bănățene
normalize: bucureștence	bucureștene
normalize: craiovenelor	craiovene
normalize: craiovencelor	craiovene
normalize: craioveancă	craioveană
normalize: gălățeancă	gălățeană
normalize: gălățence	gălățene
normalize: gălățencelor	gălățene
normalize: gălățenelor	gălățene
normalize: comisiei	comisia
normalize: comisarului	comisar
normalize: comisarilor	comisari
normalize: sportivilor	sportivi
normalize: echipelor	echipe
normalize: comisiilor	comisii
normalize: arbitrului	arbitru
normalize: arbitrilor	arbitri
normalize: asistentului	asistent
normalize: asistenților	asistenți
normalize: tenismenului	tenismen
normalize: tenisului	tenis
normalize: poloului	polo
normalize: cricketului	cricket
normalize: snookerului	snooker
normalize: voleiului	volei
normalize: voleibaliștilor	voleibaliști
normalize: cicliștilor	cicliști
normalize: ciclistului	ciclist
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: prefectului	prefect
normalize: prefecților	prefecți
normalize: deputatului	deputat
normalize: deputaților	deputați
normalize: senatorului	senator
normalize: senatorilor	senatori
normalize: președintelui	președinte
normalize: președinților	președinți
normalize: fotbaliștilor tineri	fotbaliști tineri
normalize: echipelor locale	echipe locale
normalize: rugbiștilor francezi	rugbiști francezi
normalize: poloiștilor finlandezi	poloiști finlandezi
normalize: bashetbalistelor străine	bashetbaliste străine
normalize: canotorilor chinezi	canotori chinezi
normalize: canotoarelor olimpice	canotoare olimpice
normalize: firmelor de stat	firme de stat
normalize: echipelor primăriei	echipele primăriei
normalize: echipei primăriei	echipa primăriei
normalize: mamei forbalistului	mamă forbalistului
normalize: copiii atenți	copii atenți
normalize: copiilor tineri	copii tineri
normalize: copilului monegasc	copil monegasc
normalize: tatălui sud-african	tatăl sud-african
normalize: taților sportivi	tați sportivi
normalize: mamei engleze	mamă engleze
normalize: mamelor engleze	mame engleze
normalize: suedezelor	suedeze
normalize: japonezelor	japoneze
normalize: chinezilor	chinezi
normalize: englezei	engleză
normalize: finlandezei	finlandeză
normalize: englezoaicei	englezoaica
normalize: englezoaicelor	englezoaice
normalize: sud-africanilor	sud-africani
normalize: sud-africanelor	sud-africane
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: femeii	femeie
normalize: doamnei	doamnă
normalize: profesoarei	profesoara
normalize: profesoarelor	profesoare
normalize: prietenei	prietena
normalize: prietenului	prieten
normalize: Șo	Șo
normalize: Șoc	Șoc
normalize: Și	Și
normalize: Șic	Șic
normalize: Șa	Șa
normalize: Ți	Ți
normalize: Țoc	Țoc
normalize: Țel	Țel
normalize: Țol	Țol
normalize: Țup	Țup
normalize: Șucu	Șucu
normalize: Șucului	Șucu
normalize: Șimanului	Șiman
normalize: Șimonului	Șimon
normalize: Șimonilor	Șimonii
normalize: Țiriacilor	Țiriacii
normalize: Țopeștilor	Țopeștii
normalize: Țăranului	Țăran
normalize: Țăran	Țăran
normalize: Țăranu	Țăranu
normalize: Andrei Țăranu	Andrei Țăranu
normalize: Andrei Țăranu a participat la emisiunea de la Digi 24	Andrei Țăranu a participat la emisiunea de la Digi 24
normalize: Țepelin a fost invitatul emisiunii	Țepelin a fost invitatul emisiunii
normalize: Simonei Țăranu	Simona Țăranu
normalize: Simona Țăranu	Simona Țăranu
normalize: Ștefan Ștefănescu	Ștefan Ștefănescu
normalize: Ștefănescu a prezentat știrile	Ștefănescu a prezentat știrile
normalize: Simona Țăranu a prezentat știrile	Simona Țăranu a prezentat știrile
normalize: Simona Țăranu a discutat cu Andrei Țăranu despre parlament	Simona Țăranu a discutat cu Andrei Țăranu despre parlament
normalize: Țăranilor	Țăranii
normalize: țăranilor	țărani
normalize: șucului	șuc
normalize: șocului	șoc
normalize: Țoiului	Țoi
normalize: țoiului	țoi
normalize: Ștefăneștilor	Ștefăneștii
normalize: Țigăneștenilor	Țigăneștenii
normalize: Țonea	Țonea
normalize: Țoneștilor	Țoneștii
normalize: Ștefănești	Ștefănești
normalize: Ștefănescu	Ștefănescu
normalize: Ștucan	Ștucan
normalize: Țiriac	Țiriac
normalize: Ion Țiriac	Ion Țiriac
normalize: Ion Ion Țiriac	Ion Ion Țiriac
normalize: Țiriacii	Țiriacii
normalize: Șendrea	Șendrea
normalize: Șova	Șova
normalize: Țepelin	Țepelin
normalize: copilului	copil
normalize: mamei	mamă
normalize: mamelor	mame
normalize: Iuliu	Iuliu
normalize: Iuliu Mureșan	Iuliu Mureșan
normalize: Mureșan	Mureșan
normalize: Șimon	Șimon
normalize: Țoiu	Țoiu
normalize: Dan Șucu	Dan Șucu
normalize: Vasile Șiman	Vasile Șiman
normalize: Țopescu	Țopescu
normalize: Ștefan Șuleap	Ștefan Șuleap
normalize: Șuleap	Șuleap
normalize: Șiman	Șiman
normalize: Șucu	Șucu
normalize: Dan Șucu	Dan Șucu
normalize: Vasile Șiman	Vasile Șiman
normalize: Marian Copilu	Marian Copilu
normalize: Țânțaru	Țânțaru
normalize: Țînțaru	Țînțaru
normalize: Țîgăneșteanu	Țîgăneșteanu
normalize: știr	știr
normalize: știre	știre
normalize: știrii	știre
normalize: știrilor	știri
normalize: șipot	șipot
normalize: șipotului	șipot
normalize: șenilă	șenilă
normalize: șenilei	șenilă
normalize: Țoiu	Țoiu
normalize: Ștefan	Ștefan
normalize: Șelaru	Șelaru
normalize: Narcis Șelaru	Narcis Șelaru
normalize: Șimon	Șimon
normalize: Lidia Șimon	Lidia Șimon
normalize: Lidiei Șimon	Lidia Șimon
normalize: Oana Țoiu	Oana Țoiu
normalize: Oanei Țoiu	Oana Țoiu
normalize: Țopescu	Țopescu
normalize: Cristina Țopescu	Cristina Țopescu
